timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version,request_ref,response_ref,queue_ms,store_ms,queue_bytes,request_dict_id
2026-08-26T14:26:32.923+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,954,316926,1214,tool_use,1002858,52539,1997,14476,ok,,,0.1.0,req-781,resp-894,0,27,1055397,9dd33823
2026-08-26T14:26:47.448+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,785,318140,1051,tool_use,1005818,34170,2252,12557,ok,,,0.1.0,req-782,resp-895,0,13,1039988,9dd33823
2026-08-26T14:27:00.031+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,655,319191,883,tool_use,1008968,31294,2080,9511,ok,,,0.1.0,req-783,resp-896,0,16,1040262,9dd33823
2026-08-26T14:27:09.609+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,764,320074,753,tool_use,1010895,37135,2178,11162,ok,,,0.1.0,req-784,resp-897,0,28,1048030,9dd33823
2026-08-26T14:27:20.793+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,264,320827,862,tool_use,1013747,11538,2244,4493,ok,,,0.1.0,req-785,resp-898,0,14,1025285,9dd33823
2026-08-26T14:27:25.541+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,293,321689,1238,tool_use,1017072,6903,2078,5789,ok,,,0.1.0,req-786,resp-899,0,18,1023975,9dd33823
2026-08-26T14:27:31.343+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,347,322927,489,tool_use,1019147,16201,1928,5524,ok,,,0.1.0,req-787,resp-900,0,19,1035348,9dd33823
2026-08-26T14:27:36.881+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,411,323416,445,tool_use,1020330,18999,2025,5727,ok,,,0.1.0,req-788,resp-901,0,17,1039329,9dd33823
2026-08-26T14:27:42.672+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,462,323861,509,tool_use,1021655,16415,1821,7101,ok,,,0.1.0,req-789,resp-902,0,13,1038070,9dd33823
2026-08-26T14:27:49.789+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,558,324370,667,tool_use,1024059,27319,2014,7565,ok,,,0.1.0,req-790,resp-903,0,13,1051378,9dd33823
